anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
école des sciences de la gestion,sciences de la gestion,faculté des sciences économiques,0.869940459728241,0.8212100863456726
forestry and resource conservation,forestry and nature conservation,forest resources and conservation,0.9769370555877686,0.9813656210899353
liceo,secondary school,paro education,0.7086197137832642,0.7262635231018066
biomedical engineering and environmental sciences,biomedical sciences and engineering,biological and environmental sciences and engineering,0.9416922330856323,0.9658502340316772
genomics and bioinformatics,genomics & bioinformatics,genetics and bioinformatics,0.9965410232543945,0.9671956300735474
"architecture, planning, and preservation",architecture and planning,"architecture, building & planning",0.9187771081924438,0.9266349077224731
lamhess,lam,hasse,0.8167834877967834,0.7134637832641602
odonto-stomatology,stomatology,stomatological,0.9412844181060791,0.9212669134140015
"humanities, social and training sciences","humanities, education and social sciences","humanities, education, and social sciences",0.9586819410324097,0.9574093818664551
business administration career,business administration,professional business administration,0.8423046469688416,0.8848357200622559
"film, television and media studies",film and media studies,"theatre, film and media studies",0.9714223146438599,0.9376242160797119
laboratory of systems pharmacology,laboratory of molecular pharmacology,laboratory of pharmacology,0.8900284767150879,0.9183477163314819
finnish meteorological institute,finnish environment institute,meteorological institute,0.8585392236709595,0.8295260667800903
solar energy laboratory,renewable energy laboratory,solar & photovoltaic eng research center,0.8525364398956299,0.8501465916633606
nuclear energy and safety,nuclear engineering,nuclear safety,0.8021433353424072,0.9451805353164673
r &d,r+d,r&d&i,0.9248363971710205,0.9177502989768982
departamento de desenho industrial,departamento de engenharia industrial,departamento de engenharia mecânica e industrial,0.9645346403121948,0.9208027124404907
human development and quantitative methodology,human development,organizational studies and human development,0.7878948450088501,0.7798202037811279
deec,ec,eced,0.8483884930610657,0.8468068838119507
guizhou technology,xuzhou technology,,0.9456241130828857,
unilever,unilever r&d colworth,unil,0.8719115257263184,0.6226741075515747
hospital regional de são josé dr. homero de miranda gomes,hospital são josé,hospital de são josé,0.8428876399993896,0.8536845445632935
"physics, chemistry",physics and chemistry,"physics, chemistry and biology",0.9958628416061401,0.9479296803474426
"obstet, gynaecol & reprod sci",obstetrics & gynaecology,obstetric & gynaecology,0.8798325657844543,0.890055775642395
methodical department,organizational and methodical department,systematic,0.8594951629638672,0.7398343086242676
"forest, rangeland and fire sciences","forest, rangeland, and fire sciences",forestry sciences,0.9972074627876282,0.8662927150726318
davis business,david eccles business,business development department,0.7613900899887085,0.697467029094696
strategic communications,strategic communication,marketing communication and public relations,0.9805439710617065,0.8280993103981018
social and life sciences,social and natural sciences,"natural, human and social sciences",0.9643426537513733,0.9403634071350098
ceri ee,ceri,ciompi,0.906448245048523,0.7735503911972046
berlin medical systems biology,medical systems biology,integrative medical biology,0.8044400215148926,0.7729909420013428
clinical practice research datalink,clinical informatics,clinical research services,0.8096398711204529,0.808861494064331
disaster and emergency medicine,emergency and disaster medicine,trauma and emergency medicine,0.9519081115722656,0.8876941800117493
drilling technology,drilling engineering,monitoring and exploration technologies,0.8824326992034912,0.7560858726501465
"philosophical, historical, and international studies","philosophical, historical and international studies","historical, philosophical, and religious studies",0.997279703617096,0.9214251637458801
brazilian studies,portuguese and brazilian studies,"hispanic, portuguese and latin american studies",0.9216040372848511,0.7852315902709961
national snow and ice data center,data science center,national informatics centre,0.7210795879364014,0.743159294128418
national geographic society,"geography, social sciences",national geology,0.764022946357727,0.7966563701629639
research health sciences,health sciences research,health sciences and research,0.9855982661247253,0.9693267345428467
trade and international economics,international economics and trade,economics and trade,0.9936835765838623,0.9402587413787842
health professional education,health profession education,education in health sciences,0.9812277555465698,0.9148564338684082
women's and children's health,women's & children's health,and maternal and child health,0.9972261190414429,0.9233420491218567
agricultural bank,bank,agricultural finance,0.7901168465614319,0.8252211213111877
communication and culture - art history,history and art history,art history and communication studies,0.879513144493103,0.9261332750320435
umass memorial medical center,umass medical school,academic medical center,0.8028870820999146,0.751428484916687
humanities - philosophy,"humanities, philosophy","humanities: philosophy, language and literature",0.9873411655426025,0.9247603416442871
master's degree in environmental science,master&#39;s degree in environmental management,graduate environmental education,0.9109823703765869,0.8490824103355408
coastal and marine resources management,coastal and marine resource management,ecology and coastal management,0.997931957244873,0.9040993452072144
interactive technologies institute,madeira interactive technologies institute,technology institute,0.8443443179130554,0.8953120708465576
political science & sociology,political science and sociology,social & political science,0.9952297210693359,0.9523236155509949
doctoral military sciences,doctoral military engineering,army medical sciences,0.9002686738967896,0.852450430393219
public health and allied health sciences,public health and allied sciences,public health and health sciences,0.9895479679107666,0.9871495962142944
academy of technology and humanities in bielsko-biała,academy of humanities and economics in łódź,technical sciences of serbian academy of sciences and arts,0.8226916790008545,0.7733045816421509
hotel and tourism management,hotel & tourism management,"hospitality, hotel management and tourism",0.9976637363433838,0.9680851697921753
southwest research institute boulder,southwest research institute,inria bordeaux southwest research center,0.8131837844848633,0.6894351840019226
electrical power and machines,electric power and machines,electric machines,0.9804295897483826,0.9434038996696472
state security,national security,public security,0.8718093633651733,0.8806561231613159
claves,feclesc,cife,0.7860228419303894,0.7698938846588135
international social sciences division of international social sciences,social sciences division,division of social sciences,0.8860619068145752,0.8950858116149902
state secretary of education,education secretary of state,departmental secretary of education,0.9683310985565186,0.8841972947120667
escuela de construcción civil,escuela de ingenieria civil,escuela profesional de ingeniería civil,0.909809947013855,0.8859174251556396
disaster and emergency management,emergency and disaster management,disaster and human security management,0.9767862558364868,0.9120380282402039
mount sinai health system,mount sinai hospital,hospital general monte sinai,0.9365358948707581,0.8533594608306885
département d'information et de communication,département de communication,institut de la communication,0.9113457202911377,0.764052152633667
unisal,unemat,unat,0.8557740449905396,0.8918309211730957
translational medicine and physiology,translational medicine,translational and molecular medicine,0.9237139225006104,0.9010844230651855
a-1: information systems and modeling,computational modeling,"information, modeling, electronic and system system",0.7956257462501526,0.8604995608329773
"library, information and media science",library and information science,library & information science,0.9513422250747681,0.9441866278648376
shakespeare institute,king's learning institute,english institute,0.7294288873672485,0.7343177795410156
ammachi labs,lab,channing laboratory,0.7461608052253723,0.7913800477981567
coe,ae,esce,0.8147618770599365,0.8015022277832031
microbial biochemistry,microbial chemistry,biochemistry-microbiology,0.9553747773170471,0.9281542301177979
k s hegde medical academy,medical school,medical academy,0.8321524858474731,0.8615502119064331
graduate degree in pharmaceutical sciences,graduate in pharmaceutical sciences,graduate pharmaceutical sciences,0.9821763038635254,0.9642254710197449
biophysical sciences,biologic sciences,biologic science,0.9422268271446228,0.9250061511993408
"graduate information, production and system","graduate information, production and systems",graduate information management,0.9860460758209229,0.8277168273925781
center for conservation and sustainable development,center for sustainable development,center for integrative conservation,0.9021685719490051,0.8987089395523071
centre for biomedicine,centre for biomedical research,centre for medical biotechnology,0.9316667318344116,0.9672170281410217
sector humanities,academic humanities,higher humanities,0.913446843624115,0.9074640870094299
call center,call centre,emergency call,0.9862735271453857,0.7464843988418579
