anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
lehna,alimh,shaalya,0.7858153581619263,0.8238940238952637
safe,safety,safeguards,0.8474507927894592,0.7739109992980957
spanish language and culture,spanish language,humanities and spanish language,0.8949233293533325,0.8896017670631409
digital education,digital learning,graduate digital learning and education,0.949368417263031,0.9028022885322571
bond business school,uts business school,business school bi,0.7960103750228882,0.8146230578422546
psychobiology and methodology of behavioral sciences,psychobiology and methodology in behavioral sciences,psychology and behavioral science,0.9958876371383667,0.9566963315010071
civil and architecture engineering,civil and architectural engineering,"civil, environmental and architecture engineering",0.9917868375778198,0.9610244631767273
mathematical analysis and applications of mathematics,mathematics and applications,mathematical analysis and applied mathematics,0.9297528266906738,0.9864108562469482
central coast local health district,central adelaide local health network,central public health,0.6724998354911804,0.7358624339103699
sports training,sport training,sport & exercise,0.9751888513565063,0.8598184585571289
education sector,educational sector,ucl education,0.9847534894943237,0.8908827304840088
attorney general&#39;s office,attorney general's office,office of general counsel,0.9049148559570312,0.7512653470039368
harbin technology - weihai,harbin technology weihai,hpi in chinese,0.990088701248169,0.7768921256065369
portuguese studies,portuguese and brazilian studies,portuguese philology,0.9440243244171143,0.9197744727134705
postgraduate program in epidemiology,graduate program in epidemiology,graduate group in epidemiology,0.9762916564941406,0.8786063194274902
textile science,textile science and engineering,textile and material engineering,0.958581805229187,0.8670982122421265
telecommunications and information engineering,telecommunication and information engineering,information engineering and communications,0.9973512887954712,0.974292516708374
documentation and information center,documentation center,information resource centre,0.917451024055481,0.8608991503715515
"microbiology, immunology and cancer biology","microbiology, immunology, and cancer biology","microbiology, tumor and cell biology",0.9960429072380066,0.93659907579422
monitoring evaluation and learning,"monitoring, evaluation and learning",measurement and evaluation in education,0.9748352766036987,0.7994563579559326
information systems institute,information technologies institute,information management systems institute,0.9277569055557251,0.9547989368438721
navy,u.s. navy,navigation and naval weapons,0.9301419258117676,0.7713425159454346
otorhinolaryngology - head & neck surgery,otorhinolaryngology - head and neck surgery,"ophthalmology, otorhinolaryngology and head and neck surgery",0.9977462291717529,0.9308425188064575
marketing school,advertising school,esic business and marketing school,0.873079776763916,0.8249455690383911
biological laboratory,biomedical laboratory,biotechnology lab,0.9694734811782837,0.9448399543762207
"management, economics and industrial engineering","economics, management and industrial engineering",engineering economics and management,0.9837372303009033,0.9505731463432312
business & economics,business and economics,economics and business finance,0.9964489340782166,0.9210189580917358
loyola medicine,st. ignatius of loyola,hospital ophir loyola,0.7149946689605713,0.8559349179267883
chemical engineering and textile,chemical and textile engineering,"materials, textiles and chemical engineering",0.98917555809021,0.9513804912567139
natural sciences - physics,"natural sciences, physics",natural sciences physics,0.9901476502418518,0.9770355224609375
ingeniería del software e inteligencia artificial,ciencia de la computación e inteligencia artificial,ingenieria de software,0.9186305403709412,0.9025554656982422
health sciences & medicine,health sciences and medicine,"health science, medicine",0.9974989891052246,0.9868201613426208
dietrich arts and sciences,culinary arts,gastronomy and culinary art,0.8074609041213989,0.8121561408042908
management and human potential,management and human resources,people management and development,0.850216269493103,0.8705693483352661
center for parasitological and vector studies,,centre for virus research,,0.8369640111923218
dental hygiene,dental health,oral and dental medicine,0.9397464394569397,0.8453540802001953
mechanical engineering and industrial construction,mechanical engineering and construction,mechanical and industrial engineering,0.9769997596740723,0.9580717086791992
knowledge & information science,knowledge and information science,knowledge science,0.9962270259857178,0.9217364192008972
new york state health - wadsworth center,new york state health,state health department,0.8679918646812439,0.7254542708396912
counseling and counseling psychology,counseling psychology,counselling and psychology,0.9809334874153137,0.9641004800796509
central marseille,central lille,centre urbanisation culture société,0.8791307806968689,0.6744257211685181
kinesiology and nutrition sciences,kinesiology and nutrition,"physiology, nutrition and consumer sciences",0.9439032077789307,0.8869612216949463
music and performing arts professions,music and performing arts,music and arts,0.9321533441543579,0.9085426330566406
lmgp,lmgc,wmg,0.9170976281166077,0.8780569434165955
core teacher training,teacher training,teacher training and education,0.8651928305625916,0.8463802337646484
thermal energy and power engineering,thermal and power engineering,thermal engineering and energy,0.9777113199234009,0.9753170609474182
chemical and geological sciences,chemical and earth sciences,chemistry and geosciences,0.9549208879470825,0.9542968273162842
"philosophy, sociology and law",philosophy and sociology,"philosophy, sociology and politics",0.9342556595802307,0.9155163764953613
stebicef,ibb,sbst,0.7152414321899414,0.7602924108505249
meteorological research division,meteorological research,meteorological research institute,0.8447495102882385,0.8519139289855957
alnylam pharmaceuticals inc,pharmaceutical company,manipal pharmaceutical sciences,0.7674905061721802,0.7396655082702637
miami project to cure paralysis,rehabilitation research,disability sciences and rehabilitation,0.6463587284088135,0.6464576721191406
key laboratory of cenozoic geology and environment,key laboratory of marine geology and environment,research geology and paleobiology,0.8235610127449036,0.8535841107368469
electronic engineering and computer engineering,electronic and computer engineering,electical and computer engineering,0.9850118160247803,0.9759918451309204
fixed prosthodontics department,fixed prosthodontics,department prosthesis and periodontics,0.919502317905426,0.9132533669471741
materials engineering and ceramics,materials and ceramics engineering,ceramics engineering,0.9920269846916199,0.9203677177429199
seduc-am,seduc am,educaction,0.8609274625778198,0.8279642462730408
entrepreneur,entrepreneurship,ecopreneurship,0.9214986562728882,0.8146393299102783
general geology,geology,geology and geoenvironment,0.9304906129837036,0.9183986186981201
data and systems engineering,information and systems engineering,system engineering and informatics,0.92850661277771,0.9338736534118652
division of economics,economics division,division of agricultural economics,0.9124267101287842,0.8522197008132935
celular biology,celular and molecular biology,cellular biology and anatomy,0.9392497539520264,0.9157280325889587
international and public policy,international public policy,public policy and international relations,0.9783241152763367,0.9722758531570435
christianity education masters,christian education,christchurch education,0.8945779800415039,0.9012771248817444
state serum institute,clinical institute,veterinary research institute,0.7577170133590698,0.7696831226348877
united nations office for project services,united nations development program,international projects office,0.7790071368217468,0.8463876247406006
thermal technology,thermal engineering,thermal systems,0.8603627681732178,0.9223849773406982
astroparticle and cosmology,astrophysics and cosmology,astronomy and space physics,0.9643833637237549,0.9333289265632629
marine environmental science,marine environmental sciences,marine science and environmental,0.9892936944961548,0.9778143167495728
"criminal law, procedural and history of law",criminal law and procedure,criminal and procedural law,0.9160071611404419,0.9239354133605957
music arts education,music education,music and music education,0.9797112941741943,0.9753333330154419
division of basic science and engineering,division of science and engineering,division of basic science,0.927978515625,0.9305121898651123
early childhood education institution,early childhood education school,early childhood education programs,0.9507948160171509,0.9335259199142456
electronics & communication engineering,electronics and communication engineering,electronic engineering and communications,0.9976054430007935,0.9835553169250488
ecology and landscape architecture,landscape architecture,landscape architecture and environmental planning,0.832817792892456,0.8996412754058838
portuguese literature,portuguese language and literature,portuguese philology,0.9724858999252319,0.9129713773727417
banking management,bank management,banking and financial management,0.9536306858062744,0.9432486295700073
parallel and distributed systems,distributed systems,distributed and dependable systems,0.880962610244751,0.8232514262199402
microelectronic science and engineering,microelectronics science and engineering,microengineering and nanoelectronics imen,0.9909538626670837,0.9446144104003906
good,nice,ific,0.8262957334518433,0.7692910432815552
private international and civil law,international private law,private and commercial law,0.968778133392334,0.8947314023971558
innovation management department,innovation department,innovation and management,0.9207127690315247,0.8888696432113647
prostitute,human sexuality,sexual health,0.7058860659599304,0.6155891418457031
gerencia regional de salud lambayeque,gerencia regional de salud,area de salud,0.8793634176254272,0.7429294586181641
uacj,jlu,icj,0.8103259801864624,0.881854772567749
graduate chemical science and engineering,graduate chemical sciences and engineering,chemical engineering graduate program,0.9935433268547058,0.9417991638183594
kinesiology & health,kinesiology and health,kinesiology and physiotherapy,0.9974919557571411,0.9022073745727539
research programme opera,research programme i&o,research project,0.704719066619873,0.7184592485427856
environmental chemistry,chemistry and environment,"physical chemistry of materials, environment and energy",0.9487032890319824,0.8710731863975525
ministry of public health and social welfare,ministry of public health,ministry of health and welfare,0.938657283782959,0.975680947303772
"power, electronic and telecommunication engineering","electrical, electronics and communications engineering","electrical, electronic and telecommunication engineering",0.9523063898086548,0.9590935111045837
ready child rescue,ready adult help,save children,0.6950122117996216,0.7370510697364807
information design,design and informatics,visual communication and design,0.8879505395889282,0.8220821619033813
national guard health affairs,public health nursing department,military health,0.7045798897743225,0.774940550327301
speech therapist,speech and language therapist,speech therapy program,0.9536501169204712,0.887759804725647
tissue engineering and regenerative medicine,tissue engineering,stem cell science and regenerative medicine,0.9084857702255249,0.855631947517395
pharmaceutical and biomedical sciences,pharmaceutical & biomedical sciences,pharmaceutical sciences and medicines,0.9979347586631775,0.9642452001571655
ear nose throat,ear nose and throat,otolaryngology and head and neck,0.9632807970046997,0.6652770042419434
esd,emd,edf r&d,0.8401409387588501,0.8136746883392334
dbc,dbm,mcdb,0.8805249929428101,0.8399173021316528
health and welfare sciences,health sciences and welfare,social welfare and health sciences,0.986250638961792,0.960456907749176
biological basis of behavior,behavioral biology,behavioural biology,0.8776806592941284,0.8993712663650513
science and mathematics department,"science, mathematics department",physics and mathematics department,0.9925289154052734,0.9081301689147949
molecular genetics and developmental biology,molecular biology and genetics,molecular biology and medical genetics,0.9711045026779175,0.9445763826370239
wuxi apptec china,wuxi apptec,hpi in chinese,0.8800967931747437,0.8623208999633789
cirimat,ciml,cir,0.7796011567115784,0.8239730596542358
systematic botany,systematic and evolutionary botany,"botany, ecology and plant physiology",0.9575809240341187,0.8524048924446106
conservative dentistry & endodontics,conservative dentistry and endodontics,conservative dentistry with endodontics,0.9980000257492065,0.9855899214744568
innovative chinese medicine and pharmacy,chinese medicine,post-baccalaureate chinese medicine,0.8383529186248779,0.7719526886940002
center of science and materials technology,center of sciences and technology,center for materials science,0.9432773590087891,0.943493127822876
drug research,drug discovery research,drug sciences,0.9353123903274536,0.87968510389328
ifrr,ifg,ihss,0.8921496272087097,0.8467080593109131
provita,uespi,cetad,0.7505328059196472,0.757763683795929
survey and mapping,surveying and mapping,engineering surveying and mapping,0.8909846544265747,0.7933520078659058
design of architectural environment,architectural environment design,architecture design and built environment,0.9563747644424438,0.9449735283851624
porto campus,realengo campus,porto architecture,0.772604763507843,0.8128688335418701
chair of economics,chair of macroeconomics,chair of mechanical engineering,0.944821298122406,0.7596744298934937
frontier life and medical sciences,frontier medical sciences,frontier and interdisciplinary science,0.9445421695709229,0.8595899343490601
psychology and behavioral sciences,psychological and behavioral sciences,psychobiology and methodology of behavioral sciences,0.9906600713729858,0.9529296159744263
mechanical engineeering,mechanical engineeing,turbomachinery and propulsion,0.9719931483268738,0.8740438222885132
applied electronics and instrumentation,applied electronics & instrumentation,instrumentation and optoelectronic engineering,0.9972562789916992,0.8914931416511536
pediatric nephrology,paediatric nephrology,,0.9469568729400635,
biology & biochemistry,biology and biochemistry,biochemistry and human biology,0.9963669776916504,0.9540451765060425
nukus state pedagogical institute named after ajinyoz,nukus state pedagogical institute named after ajiniyaz,krivoy rog state pedagogical institute,0.8810771703720093,0.7928649187088013
special education & rehabilitation,special education and rehabilitation,education in special education,0.9961547255516052,0.8738988041877747
mountain research center,rocky mountain research station,interdisciplinary mountain research,0.8663849830627441,0.8757487535476685
glaxosmithkline plc,glaxosmithkline,pharmaceuticals division,0.9597985148429871,0.6660798788070679
natural resources and agroforestry systems,agroforestry,agroforestry and environment,0.8925299644470215,0.9255865812301636
center for political and constitutional studies,center for constitutional studies,center for political studies,0.9306609630584717,0.9177970886230469
mukesh patel technology management and engineering,sardar patel engineering,engineering and technology management,0.7843872904777527,0.7058544158935547
gansu provincial hospital,henan provincial people's hospital,,0.9321597814559937,
applied physiology & kinesiology,applied physiology and kinesiology,"health, kinesiology and applied physiology",0.997390627861023,0.9125521183013916
laum,hla,marum,0.8003772497177124,0.8068406581878662
child study and human development,child development and education,human development and childhood studies,0.8854868412017822,0.9542760252952576
manipal medical sciences,medical sciences,"medical sciences, medicine",0.9000980854034424,0.9064391851425171
dept. of physical education,department physical education,physical education and sport department,0.9634689688682556,0.9152480363845825
data center,data centre,data storage institute,0.9823705554008484,0.7479678392410278
athens medicine,athens medical school,gkt medicine,0.8330717086791992,0.7479457259178162
institut langevin,institute laue-langevin,inrs-institut armand-frappier,0.9564963579177856,0.8013880848884583
robotics and mechatronics engineering,mechatronics and robotics engineering,"mechanical engineering, mechatronics and robotics",0.9709041118621826,0.9559890627861023
dcos,dcso,cse-ds,0.8045281171798706,0.787053644657135
research sciences and engineering,research science and engineering,research and engineering,0.9800371527671814,0.9531432390213013
property construction and project management,"property, construction and project management",construction and real estate management,0.9830965995788574,0.902728259563446
addiction medicine,addiction psychiatry,clinical psychology and addiction,0.9126821160316467,0.8005768060684204
center for energy and environment,centre for energy and environment,center for energy and environmental policy research,0.9564471244812012,0.9096263647079468
american veterinary internal medicine,clinical veterinary medicine,medicine veterinary,0.8094136714935303,0.823209285736084
hewlett-packard inc,hewlett packard enterprise,unilever r&d colworth,0.9561038017272949,0.5740138292312622
food and pharmaceutical science,food and pharmaceutical sciences,"pharmaceutical sciences, food and nutrition",0.9708285331726074,0.935526967048645
diagnostic medicine,medical diagnostics,diagnostics and intervention,0.9149569869041443,0.8571209907531738
walgreens,retail pharmacy,general pharmacy,0.7173051834106445,0.6905454993247986
tokyo metropolitan medical science,tokyo metropolitan komagome hospital,kamineni medical sciences,0.8800318241119385,0.8382126688957214
"philosophy, politics and economics","philosophy, politics, and economics",philosophy and politology,0.99741530418396,0.9475489258766174
cnr,cnr-imm,csrs,0.9007796049118042,0.8599339723587036
instituto de educación superior pedagógico publico tayabamba.,instituto federal de educacao ciencia e tecnologia do amapa,escuela de educación superior pedagógica pública chimbote,0.8329789638519287,0.8776693344116211
google switzerland,abb switzerland,google canada,0.8114379048347473,0.6253730654716492
isaac newton mathematical sciences,science and mathematics,isaac newton group of telescopes,0.6875001192092896,0.754561185836792
"computer science, electrical and space engineering",computer science & electrical engineering,science and computer engineering,0.9115299582481384,0.917336642742157
big data & analytics,big data analytics,information technology and big data analysis,0.9841887950897217,0.9286572933197021
grad school,graduate school,school graduate studies,0.9478209614753723,0.9169133901596069
pharmacognosy and medicinal plants,pharmacognosy and herbal medicine,"pharmacology, pharmacognosia and botany",0.9171698689460754,0.9306437969207764
qualcomm inc,qualcomm,instec,0.9120745658874512,0.6804462671279907
bradford teaching hospitals nhs foundation trust,sheffield teaching hospitals nhs foundation trust,,0.8432286977767944,
cmcc foundation - euro-mediterranean center on climate change,euro-mediterranean center on climate change,centre for climate change,0.8374171257019043,0.7459454536437988
sooner,er,than,0.7133804559707642,0.7440798282623291
ufscar,ufr,scau,0.7741629481315613,0.754237174987793
air force research laboratory space vehicles directorate,united states air force research laboratory,aerospace research centre,0.8468987941741943,0.8409274816513062
symmes,ifcs,mediations and subjectivities,0.7714977264404297,0.7683529853820801
graduate program in applied information,graduate program in information science,graduate information sciences,0.9275605082511902,0.9222171902656555
departamento de psicología social,departamento de psicologia social,departamento de psicologia social e institucional,0.9920084476470947,0.94489985704422
instrumental analytical chemistry,analytical chemistry,analytical chemistry and instrumental analysis,0.9147107005119324,0.9254999160766602
physiology and membrane biology,physiology and cellular biology,"physiology, molecular and cellular biology",0.9296455383300781,0.9210938215255737
academic division of information and systems,academic division of sciences and information technology,interdisciplinary information sciences,0.835443913936615,0.7970759868621826
medical analysis laboratory,medical laboratory analysis,medical laboratory department,0.9563876390457153,0.9240555763244629
graduate in music,graduate in music program,music studies,0.960772693157196,0.8368886709213257
periodontology and implant dentistry,"periodontology, dentistry",operative dentistry and periodontology,0.970076322555542,0.9576627612113953
engineering and technology- machines and equipment of agricultural production,engineering and technology- engineering mechanics and technological processes in agricultural industry,agricultural machinery and technologies engineering,0.9396772980690002,0.9624289274215698
centre for biological sciences,center for biological sciences,research center for biology,0.97261643409729,0.9343715906143188
territories,territorial development,embrapa territorial,0.8363810777664185,0.7690263986587524
mercedes-benz germany,merck germany,boehringer ingelheim united states,0.8378325700759888,0.6898329257965088
business masters,masters in business administration,masters of business administration,0.8788246512413025,0.9012147188186646
theory of condensed matter,condensed matter theory,theoretical physics of condensed matter,0.9341795444488525,0.8582885265350342
various departments,multiple departments,department management technologies,0.9650853872299194,0.7235659956932068
state key laboratory of systematic and evolutionary botany,state key laboratory of plant genomics,laboratory of botany,0.8835252523422241,0.824872612953186
"state secretariat of education, culture and sports","state secretariat of education, sport and culture",secretariat of public education,0.9962191581726074,0.8062704801559448
world trade institute,international trade,trade and international economics,0.7378172874450684,0.771318793296814
analytical and testing center,analytical & testing center,scientific and technical research center for physico-chemical analyses,0.9973079562187195,0.872279167175293
neuroscience and brain technologies,neuroscience,neurotechnology,0.9083404541015625,0.9262694120407104
resources and environment,resources & environment,ecology and natural resources,0.995130717754364,0.927848219871521
bank of republic of colombia,agricultural bank of colombia,peruvian credit bank,0.9025737643241882,0.7141844034194946
"natural, exact and education sciences","biology, exact and natural sciences",ict and natural sciences,0.9096806049346924,0.9271228313446045
more,and,lthe,0.8076295852661133,0.7767268419265747
"health, wellbeing and life sciences",health sciences and wellbeing,health sciences and wellness,0.9614066481590271,0.9475043416023254
aids research center,center for aids research,center for studies and research,0.9317192435264587,0.8687076568603516
medicinal plant development,plant biotechnology,plant breeding and biotechnology,0.8605231642723083,0.8380571603775024
business management and economics,business economics and management,"management, economics and business",0.9920796155929565,0.9807925820350647
mathematics and modeling,mathematics and mathematical modeling,mathematical and computational modeling,0.9864436388015747,0.9543725848197937
graduate letters,graduate in letters,graduate eews,0.9331287145614624,0.8077982068061829
civil and environmental engineer,environmental engineer,civil engineering environmental engineering,0.9558595418930054,0.9237620830535889
malardalens hogskola,,laas,,0.6786134243011475
cullen engineering,woodruff mechanical engineering,tum engineering and design,0.7633873224258423,0.7578595876693726
basic biomedical science,basic biomedical sciences,basic and biomedical sciences,0.9784311056137085,0.9364708662033081
media engineering,immersive media engineering,media engineering and technology,0.9362544417381287,0.9553165435791016
veterinary public health and food safety,food safety and health,"nutrition and food hygiene, public health",0.9226762056350708,0.8887598514556885
"marriage, family, and human development",family and human development,"education, psychology and family",0.876509428024292,0.7635749578475952
eecs department,ece department,dept. of eee,0.9238901138305664,0.8594552278518677
reproductive medicine and surgery,reproductive medicine,veterinary medicine & surgery,0.9347920417785645,0.8702019453048706
scharr,health and related research scharr,dchab,0.6886278390884399,0.7350475788116455
elementary science and mathematics education,elementary science education,teaching of science and mathematics education,0.9392131567001343,0.9024673700332642
curriculum pedagogy and assessment,"curriculum, pedagogy and assessment",curriculum and assessment,0.9882920384407043,0.9499545097351074
brainy surgee,brain,mind and brain,0.7519943714141846,0.7468944787979126
quantitative and computational biology,quantitative and computational biosciences,"quantitative biology, biochemistry and biotechnology",0.9278947114944458,0.8734652996063232
association of parents and friends of exceptional children of são paulo,association of parents and friends of exceptional children,escola superior de educação de paula frassinetti,0.7825536131858826,0.6239670515060425
interactive computing,computing,scom-human computer interaction,0.8927484154701233,0.8820736408233643
european court of human rights,international and european law,court of justice of european union,0.7597442269325256,0.8229248523712158
barcelona city council,barcelona,lisbon city council,0.8213561773300171,0.7388570308685303
escuela superior politécnica agropecuaria de manabí,escuela superior politécnica de chimborazo escuela de medicina,escuela superior de ingeniería química e industrias extractivas,0.8755661249160767,0.8319854736328125
b.sc,b.sc.,scbe,0.9756370782852173,0.7927420139312744
land air and water resources,"land, air and water resources",land and water resources,0.9785164594650269,0.9393295049667358
kla united states,kbr united states,u.s,0.8918523788452148,0.7604838609695435
symptom research,neuromuscular research,address epidemiological and psychosocial research,0.7999861836433411,0.7999680042266846
"nutrition and food hygiene, public health","nutrition, public health",nutrition and public health,0.9467543959617615,0.9397926330566406
uteg,utn,gdut,0.8344974517822266,0.855438232421875
rowan-virtua osteopathic medicine,edward via osteopathic medicine,alexandria medicine,0.7760626077651978,0.7223296165466309
"health, education and technology",health and technology,"health, science, social care and education",0.9243876338005066,0.9025266766548157
asociación civil impacta salud y educación,proyección social,"ciencias sociales, educacion comercial y derecho",0.7602577209472656,0.8120304346084595
"english, linguistics",english and linguistics,language & linguistics,0.9956688284873962,0.9384769201278687
inspur china,china,hpi in chinese,0.8697038888931274,0.8379228115081787
medicinal and industrial plants,plant production department,plant production and technologies,0.7767933011054993,0.8012077808380127
big data and information engineering school,information engineering school,school for data science and computational thinking,0.885975182056427,0.8782079815864563
magister of law,magister,legal institut,0.8262125253677368,0.7588471174240112
ihl,fih,hls,0.8739066123962402,0.8601285219192505
conservation center,conservation ecology center,centre for conservation science,0.9074358940124512,0.844023585319519
minsk theological academy,minsk state medical institute,chelyabinsk state medical academy,0.770655632019043,0.7609504461288452
population and data sciences,population sciences,population data science,0.9316823482513428,0.9665409326553345
occupational health and safety engineering,occupational safety engineering,environmental engineering and occupational safety and health,0.9548001289367676,0.9210788011550903
postgraduate science,post graduate science,graduate science,0.9686480164527893,0.9694861173629761
natural sciences and humanities,humanities and natural sciences,humanities and life sciences,0.9650766849517822,0.9343670010566711
massachusetts general hospital cancer center,massachusetts general hospital,southampton general hospital,0.9195798635482788,0.7822113037109375
engineering and informatics,engineering & informatics,"engineering, information and systems",0.9969591498374939,0.9439417719841003
"social, genetic & developmental psychiatry centre","social, genetic and developmental psychiatry centre",center for psychiatric neuroscience,0.9966332316398621,0.8428229689598083
sociology: methodology and theory,sociological theory,sociology and social science methodology,0.9076845645904541,0.9491451978683472
ministry of environment and sustainable development,ministry of environment,ministry of environment and natural resources,0.9375534057617188,0.9257137179374695
"teaching, learning, and teacher education","teaching, learning and teacher education",teacher training and education,0.9987220764160156,0.9584254622459412
humanites,people,people and society,0.9083462953567505,0.7719207406044006
center for teaching excellence,centre for teaching excellence,centre for excellence in learning and teaching,0.9826574921607971,0.962558388710022
physical and astronomical faculty,faculty for physics and astronomy,physical and mathematical sciences faculty,0.8841744661331177,0.8780007362365723
center for development studies,centre for development studies,center for development research,0.9733365774154663,0.9007759094238281
plankton and marine ecology,plankton,marine ecology and biodiversity,0.870764434337616,0.857363760471344
"electronic information and electrical engineering,",electronic information and electrical engineering,"electrical, electronic, and information engineering",0.9864064455032349,0.9820042848587036
veterinary medical center,medical center,veterinary clinical complex,0.9084305763244629,0.8920097351074219
interdisciplinary center for health sciences,center health sciences,center for health sciences,0.9306293725967407,0.9453964233398438
legal institut,law institute,institut court,0.8045459985733032,0.8717077970504761
cirsfid,cir,cuaad,0.6784857511520386,0.7668167948722839
"center for human sciences, education and letters","center for human sciences, social and letters",center of social sciences and humanities,0.9692080616950989,0.8972837924957275
liver diseases,liver disease,liver and digestive health,0.9794727563858032,0.8756976127624512
international affairs division,international affairs department,international relation department,0.8890492916107178,0.8514226675033569
journalism and mass media,journalism and media,"journalism, media and social communication",0.9646755456924438,0.91416335105896
production engineering and metallurgy,production and metallurgy engineering,metallurgy and industrial engineering,0.993371844291687,0.9360371232032776
physical science department,physical sciences department,material physics department,0.9855272769927979,0.8677380681037903
economic and sociological,economic and social,socioeconomics,0.9658734202384949,0.9464795589447021
principalship,principal,hertie governance,0.7987663745880127,0.63849937915802
mechatronics and electrical engineering,electrical engineering and mechatronics,electronics & electrical engineering,0.9840213060379028,0.970298171043396
prograd,proppg,postgrade,0.7791199684143066,0.8048664331436157
bachelor of science in criminology,bs criminology,degree in criminology,0.8485106229782104,0.8923491835594177
"media, culture and society",culture and media,"media, communication and culture",0.9471536874771118,0.9324966669082642
political science and law,law and political science,law and social and political sciences,0.9833257794380188,0.9170793294906616
imc,impmc,immc,0.8888272047042847,0.8465265035629272
biomems,biologics,biologicals,0.8709849715232849,0.8901777267456055
cdi,cdc,dcti,0.9129246473312378,0.8494964838027954
organ transplantation,organ transplant center,nephrology and transplantation medicine,0.9274485111236572,0.8467479944229126
microbiology & hygiene,microbiology and hygiene,"microbiology, public health, hygiene and management",0.9970605373382568,0.888751745223999
surgical gastroenterology,gastroenterology surgery,"surgery, transplantation and gastroenterology",0.9357519149780273,0.906915545463562
drilling technology,drilling engineering,monitoring and exploration technologies,0.8824326992034912,0.7560858726501465
architecture and engineering faculty,architectural and engineering faculty,"engineering, architecture department",0.9888437390327454,0.888260006904602
departamento de comunicación social,departamento de estudios de la comunicación social,departamento de comunicación y psicología social,0.9071353673934937,0.9756966233253479
post graduate program in architecture,graduate program in architecture,master's and doctoral program in architecture,0.9560603499412537,0.9203609228134155
arts and crafts,fine and decorative arts,handicrafts,0.8868652582168579,0.8866984844207764
control,controlling,organo de control institucional,0.9294401407241821,0.6823659539222717
"business economics, health and social care","business, economics and social sciences",health management and economics,0.861689567565918,0.8766999840736389
global brain health institute,brain institute,brain cognition and brain disease institute,0.8683584928512573,0.8761235475540161
"mineralogy, petrology and economic geology",mineralogy and petrology,"mineralogy, petrology and applied geology",0.9296228289604187,0.9563993811607361
metrologia,metrology,geodesy and cadastre,0.9137120246887207,0.7904974222183228
national marine environmental monitoring center,national marine environmental forecasting center,center for marine environmental studies,0.850382387638092,0.8456076383590698
arctic and antarctic research institute,arctic research center,arctic research centre,0.9145499467849731,0.9214626550674438
dispac,disucom,enspac,0.7282054424285889,0.7077310085296631
psychiatrist,psychiatrists,psychiatry and neuropsychology,0.9574147462844849,0.8532596826553345
molecular chemistry,macromolecular chemistry,organic and biomolecular chemistry,0.9822548627853394,0.9482930898666382
molecular pharmacology and physiology,molecular pharmacology & physiology,molecular and clinical pharmacology,0.9981358647346497,0.955122709274292
printing,printmaking,drawing and printmaking,0.921952486038208,0.7598333358764648
cellular and system medicine,"molecular medicine, medicine",cellular medicine,0.8197239637374878,0.9262458682060242
data management unit,data management,data analysis department,0.9268732070922852,0.8212911486625671
training and research,research and training,research and instruction,0.9956496953964233,0.9095436334609985
ministry and theology,theology and ministry,theology & religion,0.9449716806411743,0.8959551453590393
nutriomics,nutrition and dietetics,nutrigenomics,0.8902617692947388,0.9719454050064087
laboratory of neuroimaging,neuroimaging laboratory,laboratory of brain imaging,0.9479484558105469,0.9612680673599243
"industrial management, economics and trade",industrial economics and management,industrial economics and technology management,0.9457341432571411,0.9002753496170044
health and nursing sciences,health sciences and nursing,"health sciences, nursing",0.9944300651550293,0.9888893365859985
coman,feac,with a,0.7600682973861694,0.7843613624572754
applied bioengineering,bioengineering,translational bioengineering,0.9421951770782471,0.9360251426696777
engineeering,engineeing,mechanical and vehicle engineering,0.9121536016464233,0.8978908061981201
"soil, water and environmental science","soil, water, and environmental science",environment and soil science,0.9960094690322876,0.9446697235107422
taub research on alzheimer's disease and aging brain,alzheimer's disease research center,neuroscience and ageing biology,0.8283397555351257,0.7541175484657288
nature education,outdoor education,natural sciences and environmental education,0.8445096015930176,0.8318072557449341
comprehensive dentistry,comprehensive general dentistry,comprehensive dental clinics,0.9694444537162781,0.8842016458511353
hospital de santo antónio,hospital do espírito santo,hospital santo antônio,0.8544947504997253,0.9320626258850098
hkust,ust,usthb,0.8393563628196716,0.8279703855514526
profei,profept,feit,0.7350901961326599,0.7324650287628174
florence nightingale nursing,florence nightingale nursing and midwifery,sinclair nursing,0.8914283514022827,0.7084263563156128
inra toulouse midi-pyrénées centre,inra montpellier centre,hec montréal,0.8349148631095886,0.7035493850708008
singapore clinical sciences,cancer science singapore,samsung medical center,0.8304058909416199,0.7262403964996338
essua,ess,essalud,0.8085909485816956,0.8546650409698486
computers and informatics,computer and informatics,information systems and computing,0.977367103099823,0.9502528309822083
cytology,cytophysiology,sosiology,0.8699650764465332,0.8021726012229919
cattle breeding,cattle raising,animal breeding and reproduction,0.9561195373535156,0.8338971138000488
psychology unit,psychiatry unit,psychiatric research unit,0.9280596375465393,0.9069542288780212
"education, agriculture and environment","education, environment and development","environment, education and development",0.8814300298690796,0.8871371150016785
procter & gamble united states,procter and gamble,,0.792485237121582,
centre for lifelong learning,lifelong learning centre,centre for advancement of teaching and learning,0.9441453218460083,0.8914151787757874
"law, economics and finance",finance and law,"economics, finance and law",0.946138858795166,0.9836241006851196
mayo clinic medicine and science,mayo clinic medicine,medical sciences of mayabeque,0.9331808090209961,0.8250071406364441
buddhist philosophy,buddhism,buddha religious education,0.9096818566322327,0.8586938381195068
